,Tag,Word,Sentence #
170,O,conditions,6.0
171,O,sheep,6.0
172,O,could,6.0
173,O,contract,6.0
174,O,Bovine,6.0
175,O,Spongiform,6.0
176,O,Encephalopathy,6.0
177,O,BSE,6.0
178,O,mad,6.0
179,O,cow,6.0
180,O,disease,6.0
181,O,agreed,7.0
182,PER,Fischler,7.0
183,O,But,7.0
184,O,to,7.0
185,O,review,7.0
186,O,his,7.0
187,O,proposal,7.0
188,O,after,7.0
189,O,standing,7.0
190,ORG,EUs,7.0
191,O,the,7.0
192,O,veterinary,7.0
193,O,committee,7.0
194,O,mational,7.0
195,O,animal,7.0
196,O,health,7.0
197,O,officials,7.0
198,O,questioned,7.0
199,O,if,7.0
200,O,such,7.0
201,O,action,7.0
202,O,was,7.0
203,O,justified,7.0
204,O,as,7.0
205,O,there,7.0
206,O,was,7.0
207,O,only,7.0
208,O,a,7.0
209,O,slight,7.0
210,O,risk,7.0
211,O,to,7.0
212,O,human,7.0
213,O,health,7.0
214,O,Spanish,8.0
215,O,Farm,8.0
216,PER,De,8.0
217,PER,Palacio,8.0
218,O,had,8.0
219,PER,Loyola,8.0
220,O,Minister,8.0
221,O,earlier,8.0
222,O,at,8.0
223,PER,Fischler,8.0
224,O,accused,8.0
225,O,farm,8.0
226,ORG,Eu,8.0
227,O,an,8.0
228,O,ministers,8.0
229,O,meeting,8.0
230,O,of,8.0
231,O,causing,8.0
232,O,unjustified,8.0
233,O,alarm,8.0
234,O,through,8.0
235,O,dangerous,8.0
236,O,generalisation,8.0
237,O,and,9.0
238,LOC,France,9.0
239,O,proposal,9.0
240,LOC,Brittain,9.0
241,O,Only,9.0
242,PER,Fischlers,9.0
243,O,backed,9.0
244,O,scientific,10.0
245,ORG,EUs,10.0
246,O,The,10.0
247,O,veterinary,10.0
248,O,and,10.0
249,O,multidisciplinary,10.0
250,O,committees,10.0
251,O,are,10.0
252,O,due,10.0
253,O,to,10.0
254,O,reexamine,10.0
255,O,the,10.0
256,O,issue,10.0
257,O,early,10.0
258,O,next,10.0
259,O,month,10.0
260,O,and,10.0
261,O,make,10.0
262,O,recommendations,10.0
263,O,to,10.0
264,O,the,10.0
265,O,senior,10.0
266,O,veterinary,10.0
267,O,officials,10.0
268,O,Sheep,11.0
269,O,have,11.0
270,O,long,11.0
271,O,been,11.0
272,O,known,11.0
273,O,to,11.0
274,O,contract,11.0
275,O,scrapie,11.0
276,O,a,11.0
277,O,brainwasting,11.0
278,O,disease,11.0
279,O,similar,11.0
280,O,to,11.0
281,O,BSE,11.0
282,O,which,11.0
283,O,is,11.0
284,O,believed,11.0
285,O,to,11.0
286,O,have,11.0
287,O,been,11.0
288,O,transferred,11.0
289,O,to,11.0
290,O,cattle,11.0
291,O,through,11.0
292,O,feed,11.0
293,O,containing,11.0
294,O,animal,11.0
295,O,waste,11.0
296,O,British,12.0
297,O,farmers,12.0
298,O,denied,12.0
299,O,on,12.0
300,O,Thursday,12.0
301,O,there,12.0
302,O,was,12.0
303,O,any,12.0
304,O,danger,12.0
305,O,to,12.0
306,O,human,12.0
307,O,health,12.0
308,O,from,12.0
309,O,their,12.0
310,O,sheep,12.0
311,O,but,12.0
312,O,expressed,12.0
313,O,concern,12.0
314,O,that,12.0
315,O,German,12.0
316,O,government,12.0
317,O,advice,12.0
318,O,to,12.0
319,O,consumers,12.0
320,O,to,12.0
321,O,avoid,12.0
322,O,British,12.0
323,O,lamb,12.0
324,O,might,12.0
325,O,influence,12.0
326,O,consumers,12.0
327,O,What,12.0
328,LOC,Europe,12.0
329,O,across,13.0
330,O,we,13.0
331,O,have,13.0
332,O,to,13.0
333,O,be,13.0
334,O,extremely,13.0
335,O,careful,13.0
336,O,of,13.0
337,O,is,13.0
338,O,how,13.0
339,O,other,13.0
340,O,countries,13.0
341,O,are,13.0
342,O,going,13.0
343,O,to,13.0
344,O,lead,13.0
345,LOC,Germany'S,13.0
346,ORG,National,13.0
347,ORG,Farmer'S,13.0
348,ORG,Union,13.0
349,ORG,NFU,13.0
350,PER,Loyd,13.0
351,ORG,Welsch,13.0
352,O,take,13.0
353,PER,Jones',13.0
354,O,said,13.0
355,PER,Jon,13.0
356,O,chairman,13.0
357,O,has,13.0
358,ORG,Bbc,13.0
359,O,on,13.0
360,O,led,14.0
361,ORG,Radio,14.0
362,LOC,Bonne,14.0
363,O,efforts,14.0
364,O,to,14.0
365,O,protect,14.0
366,O,public,14.0
367,O,health,14.0
368,O,after,14.0
369,O,consumer,14.0
370,O,confidence,14.0
371,O,collapsed,14.0
372,O,in,14.0
373,O,March,14.0
374,O,after,14.0
375,O,a,14.0
376,O,British,14.0
377,O,report,14.0
378,O,suggested,14.0
379,O,humans,14.0
380,O,could,14.0
381,O,contract,14.0
382,O,an,14.0
383,O,illness,14.0
384,O,similar,14.0
385,O,to,14.0
386,O,mad,14.0
387,O,cow,14.0
388,O,disease,14.0
389,O,by,14.0
390,O,eating,14.0
391,O,contaminated,14.0
392,O,imported,14.0
393,LOC,Germany,15.0
394,O,beef,15.0
395,O,47600,15.0
396,O,sheep,15.0
397,O,last,15.0
398,LOC,Brittain,15.0
399,O,from,15.0
400,O,year,15.0
401,O,nearly,15.0
402,O,half,15.0
403,O,of,15.0
404,O,total,15.0
405,O,imports,15.0
406,O,It,16.0
407,O,brought,16.0
408,O,in,16.0
409,O,4275,16.0
410,O,tonnes,16.0
411,O,of,16.0
412,O,British,16.0
413,O,mutton,16.0
414,O,some,16.0
415,O,10,16.0
416,O,percent,16.0
417,O,of,16.0
418,O,overall,16.0
419,O,imports,16.0
420,O,DOCSTART,17.0
421,O,song,17.0
422,PER,Hendryx,17.0
423,O,Rare,17.0
424,O,draft,17.0
425,O,sells,17.0
426,O,for,17.0
427,O,almost,17.0
428,O,19960822,17.0
429,LOC,London,18.0
430,O,17000,18.0
431,O,A,18.0
432,O,rare,18.0
433,O,early,18.0
434,O,handwritten,18.0
435,O,draft,18.0
436,O,of,18.0
437,O,a,18.0
438,O,song,18.0
439,O,guitar,18.0
440,LOC,Us,18.0
441,O,by,18.0
442,PER,Hendryx,18.0
443,O,was,18.0
444,O,legend,18.0
445,PER,Jimmie,18.0
446,O,sold,18.0
447,O,for,18.0
448,O,almost,18.0
449,O,17000,18.0
450,O,on,18.0
451,O,Thursday,18.0
452,O,at,18.0
453,O,an,18.0
454,O,auction,18.0
455,O,of,18.0
456,O,some,18.0
457,O,of,18.0
458,O,the,18.0
459,O,late,18.0
460,O,musicians,18.0
461,O,favourite,18.0
462,O,possessions,18.0
463,O,restaurant,19.0
464,LOC,Florida,19.0
465,O,A,19.0
466,O,paid,19.0
467,O,10925,19.0
468,O,pounds,19.0
469,O,16935,19.0
470,O,for,19.0
471,O,the,19.0
472,O,draft,19.0
473,O,of,19.0
474,O,Aint,19.0
475,O,no,19.0
476,O,telling,19.0
477,O,penned,19.0
478,PER,Hendryx,19.0
479,O,which,19.0
480,O,on,19.0
481,O,a,19.0
482,O,piece,19.0
483,O,hotel,19.0
484,LOC,Lunden,19.0
485,O,of,19.0
486,O,stationery,19.0
487,O,in,19.0
488,O,late,19.0
489,O,1966,19.0
490,O,At,20.0
491,O,the,20.0
492,O,end,20.0
493,O,of,20.0
494,O,a,20.0
495,O,January,20.0
496,O,1967,20.0
497,O,concert,20.0
498,O,in,20.0
499,O,the,20.0
500,O,English,20.0
501,O,city,20.0
502,O,he,20.0
503,LOC,Nottingham,20.0
504,O,of,20.0
505,O,threw,20.0
506,O,the,20.0
507,O,sheet,20.0
508,O,of,20.0
509,O,paper,20.0
510,O,into,20.0
511,O,the,20.0
512,O,audience,20.0
513,O,where,20.0
514,O,it,20.0
515,O,was,20.0
516,O,retrieved,20.0
517,O,by,20.0
518,O,a,20.0
519,O,fan,20.0
520,O,Buyers,21.0
521,O,also,21.0
522,O,snapped,21.0
523,O,up,21.0
524,O,16,21.0
525,O,other,21.0
526,O,items,21.0
527,O,that,21.0
528,O,were,21.0
529,O,put,21.0
530,O,up,21.0
531,O,for,21.0
532,O,auction,21.0
533,O,former,21.0
534,PER,Hendrixs,21.0
535,O,by,21.0
536,PER,Etchingham,21.0
537,O,who,21.0
538,O,girlfriend,21.0
539,PER,Cathie,21.0
540,O,lived,21.0
541,O,with,21.0
542,O,him,21.0
543,O,from,21.0
544,O,1966,21.0
545,O,to,21.0
546,O,1969,21.0
547,O,They,22.0
548,O,included,22.0
549,O,a,22.0
550,O,black,22.0
551,O,lacquer,22.0
552,O,and,22.0
553,O,mother,22.0
554,O,of,22.0
555,O,pearl,22.0
556,O,inlaid,22.0
557,O,box,22.0
558,O,used,22.0
559,O,to,22.0
560,PER,Hendryx,22.0
561,O,by,22.0
562,O,store,22.0
563,O,his,22.0
564,O,drugs,22.0
565,O,which,22.0
566,O,an,22.0
567,O,anonymous,22.0
568,O,Australian,22.0
569,O,purchaser,22.0
570,O,bought,22.0
571,O,for,22.0
572,O,5060,22.0
573,O,pounds,22.0
574,O,7845,22.0
575,O,The,23.0
576,O,guitarist,23.0
577,O,died,23.0
578,O,of,23.0
579,O,a,23.0
580,O,drugs,23.0
581,O,overdose,23.0
582,O,in,23.0
583,O,1970,23.0
584,O,aged,23.0
585,O,27,23.0
586,O,says,24.0
587,LOC,China,24.0
588,O,spoils,24.0
589,LOC,Taiwan,24.0
590,O,DOCSTART,24.0
591,O,atmosphere,24.0
592,O,for,24.0
593,O,19960822,24.0
594,LOC,Beijing,25.0
595,O,on,25.0
596,LOC,China,25.0
597,O,talks,25.0
598,O,Thursday,25.0
599,O,of,25.0
600,LOC,Taipei,25.0
601,O,accused,25.0
602,O,spoiling,25.0
603,O,the,25.0
604,O,atmosphere,25.0
605,O,for,25.0
606,O,a,25.0
607,O,resumption,25.0
608,O,of,25.0
609,O,talks,25.0
610,O,across,25.0
611,LOC,Streight,25.0
612,O,with,25.0
613,O,the,25.0
614,LOC,Taiwan,25.0
615,O,a,25.0
616,O,visit,25.0
617,O,by,25.0
618,LOC,Ukraine,25.0
619,O,to,25.0
620,O,Taiwanese,25.0
621,O,Vice,25.0
622,PER,Chan,25.0
623,O,this,25.0
624,O,President,25.0
625,PER,Lean,25.0
626,O,week,25.0
627,O,that,25.0
628,O,Speaking,25.0
629,LOC,Beijing,25.0
630,O,infuriated,26.0
631,O,only,26.0
632,O,hours,26.0
633,O,after,26.0
634,O,Chinese,26.0
635,O,state,26.0
636,O,media,26.0
637,O,said,26.0
638,O,the,26.0
639,O,time,26.0
640,O,was,26.0
641,O,right,26.0
642,O,to,26.0
643,O,engage,26.0
644,O,in,26.0
645,O,political,26.0
646,LOC,Taiwan,26.0
647,ORG,Foreign,26.0
648,O,talks,26.0
649,PER,Guofang,26.0
650,ORG,Ministry,26.0
651,O,with,26.0
652,O,told,26.0
653,O,spokesman,26.0
654,O,The,26.0
655,ORG,Reuter'S,26.0
656,PER,Shen,26.0
657,O,necessary,26.0
658,O,atmosphere,26.0
659,O,for,26.0
660,O,the,26.0
661,O,opening,26.0
662,O,of,26.0
663,O,the,26.0
664,O,talks,26.0
665,O,has,26.0
666,O,been,26.0
667,O,disrupted,26.0
668,O,by,26.0
669,O,authorities,26.0
670,LOC,Taiwan,26.0
671,O,the,26.0
672,O,State,27.0
673,O,media,27.0
674,O,top,27.0
675,LOC,Chinas,27.0
676,O,quoted,27.0
677,O,negotiator,27.0
678,O,with,27.0
679,PER,Shubei,27.0
680,PER,Tang,27.0
681,LOC,Taipei,27.0
682,O,as,27.0
683,O,telling,27.0
684,O,a,27.0
685,O,visiting,27.0
686,O,group,27.0
687,O,on,27.0
688,LOC,Taiwan,27.0
689,O,from,27.0
690,O,Wednesday,27.0
691,O,that,27.0
692,O,it,27.0
693,O,was,27.0
694,O,time,27.0
695,O,for,27.0
696,O,the,27.0
697,O,rivals,27.0
698,O,to,27.0
699,O,hold,27.0
700,O,political,27.0
701,O,talks,27.0
702,O,Now,28.0
703,O,is,28.0
704,O,the,28.0
705,O,time,28.0
706,O,for,28.0
707,O,the,28.0
708,O,two,28.0
709,O,sides,28.0
710,O,to,28.0
711,O,engage,28.0
712,O,in,28.0
713,O,political,28.0
714,O,talks,28.0
715,O,that,28.0
716,O,is,28.0
717,O,to,28.0
718,O,end,28.0
719,O,the,28.0
720,O,state,28.0
721,O,of,28.0
722,O,hostility,28.0
723,O,Thursdays,28.0
724,O,overseas,28.0
725,O,edition,28.0
726,O,of,28.0
727,ORG,Daly,28.0
728,O,as,28.0
729,O,the,28.0
730,ORG,People'S,28.0
731,PER,Tang,28.0
732,O,quoted,28.0
733,O,saying,28.0
734,O,The,29.0
735,O,foreign,29.0
736,O,told,29.0
737,ORG,Shen,29.0
738,ORG,Television,29.0
739,O,in,29.0
740,O,ministrys,29.0
741,ORG,Reuter'S,29.0
742,O,an,29.0
743,O,interview,29.0
744,O,he,29.0
745,O,had,29.0
746,O,read,29.0
747,O,reports,29.0
748,O,comments,29.0
749,PER,Tangs,29.0
750,O,of,29.0
751,O,but,29.0
752,O,gave,29.0
753,O,no,29.0
754,O,details,29.0
755,O,of,29.0
756,O,why,29.0
757,O,the,29.0
758,O,negotiator,29.0
759,O,had,29.0
760,O,considered,29.0
761,O,the,29.0
762,O,time,29.0
763,O,right,29.0
764,O,for,29.0
765,O,talks,29.0
766,O,which,29.0
767,LOC,Taiwan,29.0
768,O,considers,29.0
769,LOC,Beijing,29.0
770,O,with,29.0
771,O,a,29.0
772,O,renegade,29.0
773,O,which,29.0
774,LOC,China,30.0
775,O,province,30.0
776,O,has,30.0
777,O,long,30.0
778,O,opposed,30.0
779,O,efforts,30.0
780,LOC,Taipei,30.0
781,O,all,30.0
782,O,to,30.0
783,O,gain,30.0
784,O,greater,30.0
785,O,international,30.0
786,O,recognition,30.0
787,O,was,30.0
788,O,infuriated,30.0
789,O,by,30.0
790,O,a,30.0
791,O,visit,30.0
792,O,this,30.0
793,LOC,Ukraine,30.0
794,O,to,30.0
795,O,week,30.0
796,O,by,30.0
797,O,Taiwanese,30.0
798,O,Vice,30.0
799,O,DOCSTART,30.0
800,PER,Lean,30.0
801,O,says,31.0
802,LOC,China,31.0
803,O,President,31.0
804,O,time,31.0
805,O,right,31.0
806,O,talks,31.0
807,LOC,Taiwan,31.0
808,O,19960822,31.0
809,LOC,Beijing,32.0
810,O,has,32.0
811,LOC,China,32.0
812,O,for,32.0
813,O,said,32.0
814,O,it,32.0
815,O,was,32.0
816,O,time,32.0
817,O,for,32.0
818,O,political,32.0
819,O,talks,32.0
820,O,and,32.0
821,LOC,Taiwan,32.0
822,O,with,32.0
823,O,that,32.0
824,O,the,32.0
825,O,rival,32.0
826,O,island,32.0
827,O,should,32.0
828,O,take,32.0
829,O,practical,32.0
830,O,steps,32.0
831,O,towards,32.0
832,O,that,32.0
833,O,goal,32.0
834,O,Consultations,33.0
835,O,should,33.0
836,O,be,33.0
837,O,held,33.0
838,O,to,33.0
839,O,set,33.0
840,O,the,33.0
841,O,time,33.0
842,O,and,33.0
843,O,format,33.0
844,O,of,33.0
845,O,the,33.0
846,O,talks,33.0
847,O,the,33.0
848,O,news,33.0
849,ORG,Xinhua,33.0
850,O,official,33.0
851,O,agency,33.0
852,PER,Shubei,33.0
853,O,executive,33.0
854,O,quoted,33.0
855,PER,Tang,33.0
856,O,vice,33.0
857,O,chairman,33.0
858,O,of,33.0
859,ORG,For,33.0
860,ORG,Relations,33.0
861,ORG,Across,33.0
862,ORG,The,33.0
863,ORG,Taiwan,33.0
864,ORG,Straights,33.0
865,O,as,33.0
866,ORG,Association,33.0
867,O,the,33.0
868,O,saying,33.0
869,O,late,33.0
870,O,on,33.0
871,O,Wednesday,33.0
872,O,DOCSTART,34.0
873,O,German,34.0
874,O,July,34.0
875,O,car,34.0
876,O,registrations,34.0
877,O,up,34.0
878,O,142,34.0
879,O,pct,34.0
880,O,yr,34.0
881,O,19960822,34.0
882,LOC,Frankfort,35.0
883,O,yr,35.0
884,O,German,35.0
885,O,firsttime,35.0
886,O,registrations,35.0
887,O,of,35.0
888,O,motor,35.0
889,O,vehicles,35.0
890,O,jumped,35.0
891,O,142,35.0
892,O,percent,35.0
893,O,in,35.0
894,O,July,35.0
895,O,this,35.0
896,O,year,35.0
897,O,from,35.0
898,O,the,35.0
899,O,yearearlier,35.0
900,O,period,35.0
901,ORG,Office,35.0
902,ORG,For,35.0
903,ORG,Motor,35.0
904,ORG,Vehicles,35.0
905,O,said,35.0
906,ORG,Federal,35.0
907,O,the,35.0
908,O,on,35.0
909,O,Thursday,35.0
910,O,The,36.0
911,O,office,36.0
912,O,said,36.0
913,O,356725,36.0
914,O,new,36.0
915,O,cars,36.0
916,O,were,36.0
917,O,registered,36.0
918,O,in,36.0
919,O,July,36.0
920,O,1996,36.0
921,O,304850,36.0
922,O,passenger,36.0
923,O,cars,36.0
924,O,and,36.0
925,O,15613,36.0
926,O,trucks,36.0
927,O,The,37.0
928,O,figures,37.0
929,O,represent,37.0
930,O,a,37.0
931,O,136,37.0
932,O,percent,37.0
933,O,increase,37.0
934,O,for,37.0
935,O,passenger,37.0
936,O,cars,37.0
937,O,and,37.0
938,O,a,37.0
939,O,22,37.0
940,O,percent,37.0
941,O,decline,37.0
942,O,for,37.0
943,O,trucks,37.0
944,O,from,37.0
945,O,July,37.0
946,O,1995,37.0
947,O,Motorbike,38.0
948,O,registration,38.0
949,O,rose,38.0
950,O,327,38.0
951,O,percent,38.0
952,O,in,38.0
953,O,the,38.0
954,O,period,38.0
955,O,The,39.0
956,O,growth,39.0
957,O,was,39.0
958,O,partly,39.0
959,O,due,39.0
960,O,to,39.0
961,O,an,39.0
962,O,increased,39.0
963,O,number,39.0
964,O,of,39.0
965,O,Germans,39.0
966,O,buying,39.0
967,O,German,39.0
968,O,cars,39.0
969,O,abroad,39.0
970,O,while,39.0
971,O,manufacturers,39.0
972,O,said,39.0
973,O,that,39.0
974,O,domestic,39.0
975,O,demand,39.0
976,O,was,39.0
977,O,weak,39.0
978,O,the,39.0
979,O,federal,39.0
980,O,office,39.0
981,O,said,39.0
982,O,Almost,40.0
983,O,all,40.0
984,O,German,40.0
985,O,car,40.0
986,O,manufacturers,40.0
987,O,posted,40.0
988,O,gains,40.0
989,O,in,40.0
990,O,registration,40.0
991,O,numbers,40.0
992,O,in,40.0
993,O,the,40.0
994,ORG,Ag,40.0
995,O,won,41.0
996,O,period,41.0
997,ORG,Volkswagen,41.0
998,O,77719,41.0
999,O,registrations,41.0
1000,O,slightly,41.0
1001,O,more,41.0
1002,O,than,41.0
1003,O,a,41.0
1004,O,quarter,41.0
1005,O,of,41.0
1006,O,the,41.0
1007,ORG,Ag,41.0
1008,O,together,42.0
1009,O,total,42.0
1010,ORG,Ople,42.0
1011,ORG,Motor'S,42.0
1012,O,came,42.0
1013,O,with,42.0
1014,ORG,General,42.0
1015,O,in,42.0
1016,O,second,42.0
1017,O,place,42.0
1018,O,with,42.0
1019,O,49269,42.0
1020,O,registrations,42.0
1021,O,164,42.0
1022,O,percent,42.0
1023,O,of,42.0
1024,O,the,42.0
1025,O,overall,42.0
1026,O,figure,42.0
1027,O,Third,43.0
1028,O,with,43.0
1029,ORG,Forde,43.0
1030,O,was,43.0
1031,O,35563,43.0
1032,O,registrations,43.0
1033,O,or,43.0
1034,O,117,43.0
1035,O,percent,43.0
1036,O,and,44.0
1037,ORG,Seat,44.0
1038,O,had,44.0
1039,ORG,Porsche,44.0
1040,O,Only,44.0
1041,O,fewer,44.0
1042,O,registrations,44.0
1043,O,in,44.0
1044,O,July,44.0
1045,O,1996,44.0
1046,O,compared,44.0
1047,O,to,44.0
1048,O,last,44.0
1049,O,years,44.0
1050,O,posted,44.0
1051,ORG,Seat,45.0
1052,O,July,45.0
1053,O,3420,45.0
1054,O,registrations,45.0
1055,O,compared,45.0
1056,O,with,45.0
1057,O,5522,45.0
1058,O,registrations,45.0
1059,O,in,45.0
1060,O,July,45.0
1061,O,a,45.0
1062,O,year,45.0
1063,O,registrations,45.0
1064,ORG,Porsche'S,46.0
1065,O,earlier,46.0
1066,O,fell,46.0
1067,O,to,46.0
1068,O,554,46.0
1069,O,from,46.0
1070,O,643,46.0
1071,O,DOCSTART,47.0
1072,O,GREEK,47.0
1073,O,SOCIALISTS,47.0
1074,O,GIVE,47.0
1075,O,GREEN,47.0
1076,O,LIGHT,47.0
1077,O,TO,47.0
1078,O,PM,47.0
1079,O,FOR,47.0
1080,O,19960822,47.0
1081,LOC,Athans,48.0
1082,O,ELECTIONS,48.0
1083,O,The,48.0
1084,O,Greek,48.0
1085,O,socialist,48.0
1086,O,partys,48.0
1087,O,executive,48.0
1088,O,bureau,48.0
1089,O,gave,48.0
1090,O,the,48.0
1091,O,green,48.0
1092,O,light,48.0
1093,O,to,48.0
1094,O,Prime,48.0
1095,PER,Simitis,48.0
1096,O,to,48.0
1097,O,Minister,48.0
1098,PER,Costas,48.0
1099,O,call,48.0
1100,O,snap,48.0
1101,O,elections,48.0
1102,O,its,48.0
1103,O,general,48.0
1104,PER,Skandalidis,48.0
1105,O,told,48.0
1106,O,secretary,48.0
1107,PER,Costas,48.0
1108,O,reporters,48.0
1109,O,Prime,49.0
1110,PER,Simitis,49.0
1111,O,is,49.0
1112,O,Minister,49.0
1113,PER,Costas,49.0
1114,O,going,49.0
1115,O,to,49.0
1116,O,make,49.0
1117,O,an,49.0
1118,O,official,49.0
1119,O,announcement,49.0
1120,O,after,49.0
1121,O,a,49.0
1122,O,cabinet,49.0
1123,O,meeting,49.0
1124,O,later,49.0
1125,O,on,49.0
1126,O,Thursday,49.0
1127,PER,Dimitris,49.0
1128,PER,Skandalidis,49.0
1129,ORG,Athans,50.0
1130,PER,Kontogiannis,50.0
1131,O,301,50.0
1132,ORG,Newsroom,50.0
1133,O,said,50.0
1134,O,33118124,50.0
1135,O,sets,50.0
1136,ORG,BayerVB,50.0
1137,O,DOCSTART,50.0
1138,O,C,50.0
1139,O,100,50.0
1140,O,million,50.0
1141,O,sixyear,50.0
1142,O,19960822,50.0
1143,LOC,London,51.0
1144,O,bond,51.0
1145,O,The,51.0
1146,O,following,51.0
1147,O,bond,51.0
1148,O,was,51.0
1149,O,announced,51.0
1150,O,by,51.0
1151,O,lead,51.0
1152,PER,Dominion,51.0
1153,O,BORROWER,51.0
1154,O,manager,51.0
1155,ORG,Vereinsbank,52.0
1156,O,AMT,52.0
1157,PER,Toronto,52.0
1158,ORG,Bayerische,52.0
1159,O,C,52.0
1160,O,100,52.0
1161,O,MLN,52.0
1162,O,COUPON,52.0
1163,O,6625,52.0
1164,O,MATURITY,52.0
1165,O,24SEP02,52.0
1166,O,TYPE,52.0
1167,O,STRAIGHT,52.0
1168,O,ISS,52.0
1169,O,PRICE,52.0
1170,O,10092,52.0
1171,O,PAY,52.0
1172,O,DATE,52.0
1173,O,24SEP96,52.0
1174,O,FULL,52.0
1175,O,FEES,52.0
1176,O,1875,52.0
1177,O,REOFFER,52.0
1178,O,9932,52.0
1179,O,SPREAD,52.0
1180,O,20,52.0
1181,O,BP,52.0
1182,O,MOODY,52.0
1183,O,AA1,52.0
1184,O,LISTING,52.0
1185,O,LUX,52.0
1186,O,PAY,52.0
1187,O,DENOMS,52.0
1188,ORG,SP,52.0
1189,O,FREQ,52.0
1190,O,K,52.0
1191,O,110100,52.0
1192,O,SALE,52.0
1193,LOC,Uk,52.0
1194,LOC,Kah,52.0
1195,O,NEG,52.0
1196,LOC,Us,52.0
1197,O,LIMITS,52.0
1198,O,PLG,52.0
1199,O,NO,52.0
1200,O,CRS,52.0
1201,O,DEFLT,52.0
1202,O,NO,52.0
1203,O,FORCE,52.0
1204,O,MAJ,52.0
1205,O,GOV,52.0
1206,O,LAW,52.0
1207,O,GERMAN,52.0
1208,O,HOME,52.0
1209,O,CTRY,52.0
1210,O,TAX,52.0
1211,O,PROVS,52.0
1212,O,STANDARD,52.0
1213,O,MGT,52.0
1214,O,UND,52.0
1215,O,0275,52.0
1216,O,SELL,52.0
1217,O,CONC,52.0
