,Sentence #,Tag,Word
379,14,O,Lead
380,14,O,","
381,14,ORG,Welsch
382,14,ORG,National
383,14,ORG,Farmer'S
384,14,ORG,'
385,14,ORG,Union
386,14,O,(
387,14,ORG,NFU
388,14,O,)
389,14,O,Chairman
390,14,PER,Jon
391,14,PER,Loyd
392,14,PER,Jones'
393,14,O,Said
394,14,O,Aune
395,14,ORG,Bbc
396,14,ORG,Radio
397,14,O,.
398,15,LOC,Bonne
399,15,O,Has
400,15,O,Led
401,15,O,Effertz
402,15,O,To
403,15,O,Protect
404,15,O,Public
405,15,O,Health
406,15,O,After
407,15,O,Consumer
408,15,O,Confidence
409,15,O,Collapsed
410,15,O,In
411,15,O,March
412,15,O,After
413,15,O,A
414,15,O,British
415,15,O,Report
416,15,O,Suggested
417,15,O,Youmans
418,15,O,Could
419,15,O,Contract
420,15,O,'N
421,15,O,Illness
422,15,O,Similar
423,15,O,To
424,15,O,Mad
425,15,O,Kough
426,15,O,Disease
427,15,O,Bae
428,15,O,Eating
429,15,O,Contaminated
430,15,O,Beef
431,15,O,.
432,16,LOC,Germany
433,16,O,Imported
434,16,O,"47,600"
435,16,O,Sheep
436,16,O,From
437,16,LOC,Brittain
438,16,O,Lass
439,16,O,Year
440,16,O,","
441,16,O,Nearly
442,16,O,Haff
443,16,O,Of
444,16,O,Total
445,16,O,Imports
446,16,O,.
447,17,O,It
448,17,O,Brought
449,17,O,In
450,17,O,"4,275"
451,17,O,Tons
452,17,O,Of
453,17,O,British
454,17,O,Mutton
455,17,O,","
456,17,O,Sum
457,17,O,10
458,17,O,Percent
459,17,O,Of
460,17,O,Overall
461,17,O,Imports
462,17,O,.
463,18,O,-DOCSTART-
464,18,O,Reher
465,18,PER,Hendryx
466,18,O,Song
467,18,O,Draught
468,18,O,Selz
469,18,O,For
470,18,O,Almost
471,18,O,$
472,18,O,"17,000"
473,18,O,.
474,19,LOC,London
475,19,O,1996-08-22
476,19,O,A.
477,19,O,Reher
478,19,O,Earley
479,19,O,Handwritten
480,19,O,Draught
481,19,O,Of
482,19,O,A
483,19,O,Song
484,19,O,Bae
485,19,LOC,Us
486,19,O,Guitar
487,19,O,Legend
488,19,PER,Jimmie
489,19,PER,Hendryx
490,19,O,Was
491,19,O,Sold
492,19,O,For
493,19,O,Almost
494,19,O,$
495,19,O,"17,000"
496,19,O,Aune
497,19,O,Thursday
498,19,O,At
499,19,O,'N
500,19,O,Auction
501,19,O,Of
502,19,O,Sum
503,19,O,Of
504,19,O,The
505,19,O,Leight
506,19,O,Musician
507,19,O,Es
508,19,O,Favourite
509,19,O,Possessions
510,19,O,.
511,20,O,A.
512,20,LOC,Florida
513,20,O,Restaurant
514,20,O,Paid
515,20,O,"10,925"
516,20,O,Pound'S
517,20,O,(
518,20,O,$
519,20,O,"16,935"
520,20,O,)
521,20,O,For
522,20,O,The
523,20,O,Draught
524,20,O,Of
525,20,O,Ai
526,20,O,n't
527,20,O,Nau
528,20,O,Telling
529,20,O,","
530,20,O,Which
531,20,PER,Hendryx
532,20,O,Penned
533,20,O,Aune
534,20,O,A
535,20,O,Peace
536,20,O,Of
537,20,LOC,Lunden
538,20,O,Hotel
539,20,O,Stationary
540,20,O,In
541,20,O,Leight
542,20,O,1966
543,20,O,.
544,21,O,At
545,21,O,The
546,21,O,End
547,21,O,Of
548,21,O,A
549,21,O,January
550,21,O,1967
551,21,O,Concert
552,21,O,In
553,21,O,The
554,21,O,English
555,21,O,Citi
556,21,O,Of
557,21,LOC,Nottingham
558,21,O,He
559,21,O,Through
560,21,O,The
561,21,O,Sheet
562,21,O,Of
563,21,O,Paper
564,21,O,Into
565,21,O,The
566,21,O,Audience
567,21,O,","
568,21,O,Where
569,21,O,It
570,21,O,Was
571,21,O,Retrieved
572,21,O,Bae
573,21,O,A
574,21,O,Phan
575,21,O,.
576,22,O,Byars
577,22,O,Also
578,22,O,Snapped
579,22,O,Up
580,22,O,16
581,22,O,Other
582,22,O,Items
583,22,O,That
584,22,O,We'Re
585,22,O,Put
586,22,O,Up
587,22,O,For
588,22,O,Auction
589,22,O,Bae
590,22,PER,Hendryx
591,22,O,Es
592,22,O,Former
593,22,O,Girlfriend
594,22,PER,Cathie
595,22,PER,Etchingham
596,22,O,","
597,22,O,Hoo
598,22,O,Lived
599,22,O,With
600,22,O,Him
601,22,O,From
602,22,O,1966
603,22,O,To
604,22,O,1969
605,22,O,.
606,23,O,They
607,23,O,Included
608,23,O,A
609,23,O,Black
610,23,O,Lacher
611,23,O,And
612,23,O,Mother
613,23,O,Of
614,23,O,Perle
615,23,O,Inlaid
616,23,O,Box
617,23,O,Used
618,23,O,Bae
619,23,PER,Hendryx
620,23,O,To
621,23,O,Stoehr
622,23,O,His
623,23,O,Drug'S
624,23,O,","
625,23,O,Which
626,23,O,'N
627,23,O,Anonymous
628,23,O,Australian
629,23,O,Purchaser
630,23,O,Bot
631,23,O,For
632,23,O,"5,060"
633,23,O,Pound'S
634,23,O,(
635,23,O,$
636,23,O,"7,845"
637,23,O,)
638,23,O,.
639,24,O,The
640,24,O,Guitarist
641,24,O,Died
642,24,O,Of
643,24,O,A
644,24,O,Drug'S
645,24,O,Overdose
646,24,O,In
647,24,O,1970
648,24,O,Aged
649,24,O,27
650,24,O,.
651,25,O,-DOCSTART-
652,25,LOC,China
653,25,O,Says
654,25,LOC,Taiwan
655,25,O,Spoils
656,25,O,Atmosphere
657,25,O,For
658,25,O,Talk'S
659,25,O,.
660,26,LOC,Beijing
661,26,O,1996-08-22
662,26,LOC,China
663,26,O,Aune
664,26,O,Thursday
665,26,O,Accused
666,26,LOC,Taipei
667,26,O,Of
668,26,O,Spoiling
669,26,O,The
670,26,O,Atmosphere
671,26,O,For
672,26,O,A
673,26,O,Resumption
674,26,O,Of
675,26,O,Talk'S
676,26,O,Across
677,26,O,The
678,26,LOC,Taiwan
679,26,LOC,Streight
680,26,O,With
681,26,O,A
682,26,O,Visit
683,26,O,To
684,26,LOC,Ukraine
685,26,O,Bae
686,26,O,Taiwanese
687,26,O,Vise
688,26,O,President
689,26,PER,Lean
690,26,PER,Chan
691,26,O,This
692,26,O,Weak
693,26,O,That
694,26,O,Infuriated
695,26,LOC,Beijing
696,26,O,.
697,27,O,Speaking
698,27,O,Only
699,27,O,Ours
700,27,O,After
701,27,O,Chinese
702,27,O,State
703,27,O,Media
704,27,O,Said
705,27,O,The
706,27,O,Time
707,27,O,Was
708,27,O,Reit
709,27,O,To
710,27,O,Engage
711,27,O,In
712,27,O,Political
713,27,O,Talk'S
714,27,O,With
715,27,LOC,Taiwan
716,27,O,","
717,27,ORG,Foreign
718,27,ORG,Ministry
719,27,O,Spokesman
720,27,PER,Shen
721,27,PER,Guofang
722,27,O,Tolled
723,27,ORG,Reuter'S
724,27,O,:
725,27,O,The
726,27,O,Necessary
727,27,O,Atmosphere
728,27,O,For
729,27,O,The
730,27,O,Opening
731,27,O,Of
732,27,O,The
733,27,O,Talk'S
734,27,O,Has
735,27,O,Been
736,27,O,Disrupted
737,27,O,Bae
738,27,O,The
739,27,LOC,Taiwan
740,27,O,Authorities
741,27,O,.
742,28,O,State
743,28,O,Media
744,28,O,Quoted
745,28,LOC,China
746,28,O,Es
747,28,O,Top
748,28,O,Negotiator
749,28,O,With
750,28,LOC,Taipei
751,28,O,","
752,28,PER,Tang
753,28,PER,Shubei
754,28,O,","
755,28,O,As
756,28,O,Telling
757,28,O,A
758,28,O,Visiting
759,28,O,Grupe
760,28,O,From
761,28,LOC,Taiwan
762,28,O,Aune
763,28,O,Wednesday
764,28,O,That
765,28,O,It
766,28,O,Was
767,28,O,Time
768,28,O,For
769,28,O,The
770,28,O,Rival'S
771,28,O,To
772,28,O,Hold
773,28,O,Political
774,28,O,Talk'S
775,28,O,.
776,29,O,Gnau
777,29,O,Is
778,29,O,The
779,29,O,Time
780,29,O,For
781,29,O,The
782,29,O,Thuy
783,29,O,Side'S
784,29,O,To
785,29,O,Engage
786,29,O,In
787,29,O,Political
788,29,O,Talk'S
789,29,O,...
790,29,O,That
791,29,O,Is
792,29,O,To
793,29,O,End
794,29,O,The
795,29,O,State
796,29,O,Of
797,29,O,Hostility
798,29,O,","
799,29,O,Thursday
800,29,O,Es
801,29,O,Overseas
802,29,O,Edition
803,29,O,Of
804,29,O,The
805,29,ORG,People
806,29,ORG,Es
807,29,ORG,Daly
808,29,O,Quoted
809,29,PER,Tang
810,29,O,As
811,29,O,Saying
812,29,O,.
813,30,O,The
814,30,O,Foreign
815,30,O,Ministry
816,30,O,Es
817,30,ORG,Shen
818,30,O,Tolled
819,30,ORG,Reuter'S
820,30,ORG,Television
821,30,O,In
822,30,O,'N
823,30,O,Interview
824,30,O,He
825,30,O,Had
826,30,O,Wrede
827,30,O,Reports
828,30,O,Of
829,30,PER,Tang
830,30,O,Es
831,30,O,Comments
832,30,O,But
833,30,O,Gave
834,30,O,Nau
835,30,O,Details
836,30,O,Of
837,30,O,Why
838,30,O,The
839,30,O,Negotiator
840,30,O,Had
841,30,O,Considered
842,30,O,The
843,30,O,Time
844,30,O,Reit
845,30,O,For
846,30,O,Talk'S
847,30,O,With
848,30,LOC,Taiwan
849,30,O,","
850,30,O,Which
851,30,LOC,Beijing
852,30,O,Considers
853,30,O,A
854,30,O,Renegade
855,30,O,Province
856,30,O,.
857,31,LOC,China
858,31,O,","
859,31,O,Which
860,31,O,Has
861,31,O,Long
862,31,O,Opposed
863,31,O,All
864,31,LOC,Taipei
865,31,O,Effertz
866,31,O,To
867,31,O,Gain
868,31,O,Grater
869,31,O,International
870,31,O,Recognition
871,31,O,","
872,31,O,Was
873,31,O,Infuriated
874,31,O,Bae
875,31,O,A
876,31,O,Visit
877,31,O,To
878,31,LOC,Ukraine
879,31,O,This
880,31,O,Weak
881,31,O,Bae
882,31,O,Taiwanese
883,31,O,Vise
884,31,O,President
885,31,PER,Lean
886,31,O,.
887,32,O,-DOCSTART-
888,32,LOC,China
889,32,O,Says
890,32,O,Time
891,32,O,Reit
892,32,O,For
893,32,LOC,Taiwan
894,32,O,Talk'S
895,32,O,.
896,33,LOC,Beijing
897,33,O,1996-08-22
898,33,LOC,China
899,33,O,Has
900,33,O,Said
901,33,O,It
902,33,O,Was
903,33,O,Time
904,33,O,For
905,33,O,Political
906,33,O,Talk'S
907,33,O,With
908,33,LOC,Taiwan
909,33,O,And
910,33,O,That
911,33,O,The
912,33,O,Rival
913,33,O,Eiland
914,33,O,Schuld
915,33,O,Take
916,33,O,Practical
917,33,O,Steppes
918,33,O,Towards
919,33,O,That
920,33,O,Goal
921,33,O,.
922,34,O,Consultations
923,34,O,Schuld
924,34,O,Be
925,34,O,Held
926,34,O,To
927,34,O,Sette
928,34,O,The
929,34,O,Time
930,34,O,And
931,34,O,Format
932,34,O,Of
933,34,O,The
934,34,O,Talk'S
935,34,O,","
936,34,O,The
937,34,O,Official
938,34,ORG,Xinhua
939,34,O,News
940,34,O,Agency
941,34,O,Quoted
942,34,PER,Tang
943,34,PER,Shubei
944,34,O,","
945,34,O,Executive
946,34,O,Vice
947,34,O,Chairman
948,34,O,Of
949,34,O,The
950,34,ORG,Association
951,34,ORG,For
952,34,ORG,Relations
953,34,ORG,Across
954,34,ORG,The
955,34,ORG,Taiwan
956,34,ORG,Straights
957,34,O,","
958,34,O,As
959,34,O,Saying
960,34,O,Leight
961,34,O,Aune
962,34,O,Wednesday
963,34,O,.
964,35,O,-DOCSTART-
965,35,O,Jerman
966,35,O,July
967,35,O,Kahr
968,35,O,Registrations
969,35,O,Up
970,35,O,14.2
971,35,O,pct
972,35,O,yr
973,35,O,/
974,35,O,yr
975,35,O,.
976,36,LOC,Frankfort
977,36,O,1996-08-22
978,36,O,Jerman
979,36,O,first-time
980,36,O,Registrations
981,36,O,Of
982,36,O,Motor
983,36,O,Vehicles
984,36,O,Jumped
985,36,O,14.2
986,36,O,Percent
987,36,O,In
988,36,O,July
989,36,O,This
990,36,O,Year
991,36,O,From
992,36,O,The
993,36,O,year-earlier
994,36,O,Period
995,36,O,","
996,36,O,The
997,36,ORG,Federal
998,36,ORG,Office
999,36,ORG,For
1000,36,ORG,Motor
1001,36,ORG,Vehicles
1002,36,O,Said
1003,36,O,Aune
1004,36,O,Thursday
1005,36,O,.
1006,37,O,The
1007,37,O,Office
1008,37,O,Said
1009,37,O,"356,725"
1010,37,O,New
1011,37,O,Coz
1012,37,O,We'Re
1013,37,O,Registered
1014,37,O,In
1015,37,O,July
1016,37,O,1996
1017,37,O,--
1018,37,O,"304,850"
1019,37,O,Passenger
1020,37,O,Coz
1021,37,O,And
1022,37,O,"15,613"
1023,37,O,Truck'S
1024,37,O,.
1025,38,O,The
1026,38,O,Figure'S
1027,38,O,Represent
1028,38,O,A
1029,38,O,13.6
1030,38,O,Percent
1031,38,O,Increase
1032,38,O,For
1033,38,O,Passenger
1034,38,O,Coz
1035,38,O,And
1036,38,O,A
1037,38,O,2.2
1038,38,O,Percent
1039,38,O,Decline
1040,38,O,For
1041,38,O,Truck'S
1042,38,O,From
1043,38,O,July
1044,38,O,1995
1045,38,O,.
1046,39,O,Motor-bike
1047,39,O,Registration
1048,39,O,Roes
1049,39,O,32.7
1050,39,O,Percent
1051,39,O,In
1052,39,O,The
1053,39,O,Period
1054,39,O,.
1055,40,O,The
1056,40,O,Growth
1057,40,O,Was
1058,40,O,Partly
1059,40,O,Due
1060,40,O,To
1061,40,O,'N
1062,40,O,Increased
1063,40,O,Number
1064,40,O,Of
1065,40,O,German'S
1066,40,O,Buying
1067,40,O,Jerman
1068,40,O,Coz
1069,40,O,Abroad
1070,40,O,","
1071,40,O,While
1072,40,O,Manufacturer'S
1073,40,O,Said
1074,40,O,That
1075,40,O,Domestic
1076,40,O,Demand
1077,40,O,Was
1078,40,O,Weick
1079,40,O,","
1080,40,O,The
1081,40,O,Federal
1082,40,O,Office
1083,40,O,Said
1084,40,O,.
1085,41,O,Almost
1086,41,O,All
1087,41,O,Jerman
1088,41,O,Kahr
1089,41,O,Manufacturer'S
1090,41,O,Posted
1091,41,O,Gaines
1092,41,O,In
1093,41,O,Registration
1094,41,O,Number'S
1095,41,O,In
1096,41,O,The
1097,41,O,Period
1098,41,O,.
1099,42,ORG,Volkswagen
1100,42,ORG,Ag
1101,42,O,Wan
1102,42,O,"77,719"
1103,42,O,Registrations
1104,42,O,","
1105,42,O,Slightly
1106,42,O,Mohr
1107,42,O,Than
1108,42,O,A
1109,42,O,Quarter
1110,42,O,Of
1111,42,O,The
1112,42,O,Total
1113,42,O,.
1114,43,ORG,Ople
1115,43,ORG,Ag
1116,43,O,Together
1117,43,O,With
1118,43,ORG,General
1119,43,ORG,Motor'S
1120,43,O,Kaim
1121,43,O,In
1122,43,O,Second
1123,43,O,Place
1124,43,O,With
1125,43,O,"49,269"
1126,43,O,Registrations
1127,43,O,","
1128,43,O,16.4
1129,43,O,Percent
1130,43,O,Of
1131,43,O,The
1132,43,O,Overall
1133,43,O,Figure
1134,43,O,.
1135,44,O,Third
1136,44,O,Was
1137,44,ORG,Forde
1138,44,O,With
1139,44,O,"35,563"
1140,44,O,Registrations
1141,44,O,","
1142,44,O,Are
1143,44,O,11.7
1144,44,O,Percent
1145,44,O,.
1146,45,O,Only
1147,45,ORG,Seat
1148,45,O,And
1149,45,ORG,Porsche
1150,45,O,Had
1151,45,O,Feuer
1152,45,O,Registrations
1153,45,O,In
1154,45,O,July
1155,45,O,1996
1156,45,O,Compared
1157,45,O,To
1158,45,O,Lass
1159,45,O,Year
1160,45,O,Es
1161,45,O,July
1162,45,O,.
1163,46,ORG,Seat
1164,46,O,Posted
1165,46,O,"3,420"
1166,46,O,Registrations
1167,46,O,Compared
1168,46,O,With
1169,46,O,5522
1170,46,O,Registrations
1171,46,O,In
1172,46,O,July
1173,46,O,A
1174,46,O,Year
1175,46,O,Earlier
1176,46,O,.
1177,47,ORG,Porsche
1178,47,O,Es
1179,47,O,Registrations
1180,47,O,Fehl
1181,47,O,To
1182,47,O,554
1183,47,O,From
1184,47,O,643
1185,47,O,.
1186,48,O,-DOCSTART-
1187,48,O,Greek
1188,48,O,Socialists
1189,48,O,Give
1190,48,O,Green
1191,48,O,Light
1192,48,O,To
1193,48,O,Pm
1194,48,O,For
1195,48,O,Election'S
1196,48,O,.
1197,49,LOC,Athans
1198,49,O,1996-08-22
1199,49,O,The
1200,49,O,Greek
1201,49,O,Socialist
1202,49,O,Parti
1203,49,O,Es
1204,49,O,Executive
1205,49,O,Burow
1206,49,O,Gave
1207,49,O,The
1208,49,O,Green
1209,49,O,Lite
1210,49,O,To
1211,49,O,Prime
1212,49,O,Minister
1213,49,PER,Costas
1214,49,PER,Simitis
1215,49,O,To
1216,49,O,Kaul
1217,49,O,Snap
1218,49,O,Election'S
1219,49,O,","
1220,49,O,It'S
1221,49,O,General
1222,49,O,Secretary
1223,49,PER,Costas
1224,49,PER,Skandalidis
1225,49,O,Tolled
1226,49,O,Reporter'S
1227,49,O,.
1228,50,O,Prime
1229,50,O,Minister
1230,50,PER,Costas
1231,50,PER,Simitis
1232,50,O,Is
1233,50,O,Going
1234,50,O,To
1235,50,O,Make
1236,50,O,'N
1237,50,O,Official
1238,50,O,Announcement
1239,50,O,After
1240,50,O,A
1241,50,O,Cabinet
1242,50,O,Meeting
1243,50,O,Later
1244,50,O,Aune
1245,50,O,Thursday
1246,50,O,","
1247,50,O,Said
1248,50,PER,Skandalidis
1249,50,O,.
1250,51,O,--
1251,51,PER,Dimitris
1252,51,PER,Kontogiannis
1253,51,O,","
1254,51,ORG,Athans
1255,51,ORG,Newsroom
1256,51,O,+301
1257,51,O,3311812-4
1258,51,O,-DOCSTART-
1259,51,ORG,BayerVB
1260,51,O,Sets
1261,51,O,C$
1262,51,O,100
1263,51,O,Million
1264,51,O,six-year
1265,51,O,Bond
1266,51,O,.
1267,52,LOC,London
1268,52,O,1996-08-22
1269,52,O,The
1270,52,O,Following
1271,52,O,Bond
1272,52,O,Was
1273,52,O,Announced
1274,52,O,Bae
1275,52,O,Lead
1276,52,O,Manager
1277,52,PER,Toronto
1278,52,PER,Dominion
1279,52,O,.
1280,53,O,Borrower
1281,53,ORG,Bayerische
1282,53,ORG,Vereinsbank
1283,53,O,AMT
1284,53,O,C$
1285,53,O,100
1286,53,O,MLN
1287,53,O,Coupon
1288,53,O,6.625
1289,53,O,Maturity
1290,53,O,24.SEP.02
1291,53,O,Type
1292,53,O,Straight
1293,53,O,ISS
1294,53,O,Preiss
1295,53,O,100.92
1296,53,O,Pay
1297,53,O,Date
1298,53,O,24.SEP.96
1299,53,O,Full
1300,53,O,Fees
1301,53,O,1.875
1302,53,O,Reoffer
1303,53,O,99.32
1304,53,O,Spread
1305,53,O,+20
1306,53,O,Bp
1307,53,O,Moodie
1308,53,O,AA1
1309,53,O,Listing
1310,53,O,Lucks
1311,53,O,Pay
1312,53,O,FREQ
1313,53,O,=
1314,53,ORG,S&P
1315,53,O,=
1316,53,O,DENOMS
1317,53,O,(
1318,53,O,'Kay
1319,53,O,)
1320,53,O,1-10-100
1321,53,O,Sail
1322,53,O,Limits
1323,53,LOC,Us
1324,53,O,/
1325,53,LOC,Uk
1326,53,O,/
1327,53,LOC,Kah
1328,53,O,Neg
1329,53,O,PLG
1330,53,O,Neault
1331,53,O,CRS
1332,53,O,DEFLT
1333,53,O,Neault
1334,53,O,Force
1335,53,O,Madge
1336,53,O,=
1337,53,O,Gov
1338,53,O,La
1339,53,O,German
1340,53,O,Holm
1341,53,O,CTRY
1342,53,O,=
1343,53,O,Tacks
1344,53,O,PROVS
1345,53,O,Standard
1346,53,O,MGT
1347,53,O,/
1348,53,O,Und
1349,53,O,0.275
1350,53,O,Cell
1351,53,O,CONC
1352,53,O,1.60
1353,53,O,PRAECIP
1354,53,O,=
1355,53,O,Underlying
1356,53,O,GOVT
1357,53,O,Bond
1358,53,O,7.0
1359,53,O,PCT
1360,53,O,Sept
1361,53,O,2001
1362,53,O,Note'S
1363,53,ORG,Bayerische
1364,53,ORG,Vereinsbank
1365,53,O,Is
1366,53,O,Joint
1367,53,O,Lead
1368,53,O,Manager
1369,53,O,--
1370,53,ORG,Lunden
1371,53,ORG,Newsroom
1372,53,O,+44
1373,53,O,171
1374,53,O,542
1375,53,O,7658
1376,53,O,-DOCSTART-
1377,53,ORG,Venantius
1378,53,O,Sets
